,instance,worst_makespan_before_vns,worst_makespan_after_vns,improvement
0,u_s_hilo,216149.636909,173394.957761,19.78012998744936
1,u_s_hilo,237194.799806,176293.51848499998,25.67563933560547
2,u_s_hilo,207129.226808,170368.54687400002,17.74770296809709
3,u_s_hilo,221757.80635800003,176833.371142,20.258333158055866
4,u_s_hilo,203376.60400599995,166827.64806899996,17.97107199996404
5,u_s_hilo,172857.28200500007,157014.01773199995,9.165517407905233
6,u_s_hilo,190997.829224,162102.26528599998,15.12873944976183
7,u_s_hilo,216234.766756,173817.00247899996,19.616532953215792
8,u_s_hilo,193260.771607,166747.312404,13.71900721627859
9,u_s_hilo,194265.793117,160975.465044,17.136484781420226
10,u_s_hilo,203210.31433,172674.041326,15.026930648023672
11,u_s_hilo,100582.849886,98168.578953,2.4002808985193025
12,u_s_hilo,97890.351135,97431.56833799998,0.4686700902393537
