,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,100,100,99233.19785200004,0.3,10.0,91.37773609161376,u_s_hilo.0,0.0,roulette wheel
1,512,16,100,100,96705.44799899998,0.3,10.0,95.135262966156,u_s_hilo.0,10.0,roulette wheel
2,512,16,100,100,97382.049679,0.3,10.0,103.07440710067748,u_s_hilo.0,20.0,roulette wheel
3,512,16,100,100,97206.08914,0.3,10.0,101.48608899116516,u_s_hilo.0,30.0,roulette wheel
4,512,16,100,100,98785.942628,0.3,20.0,93.12788462638856,u_s_hilo.0,0.0,roulette wheel
5,512,16,100,100,97831.39740600003,0.3,20.0,96.84295511245728,u_s_hilo.0,10.0,roulette wheel
6,512,16,100,100,97260.79516699996,0.3,20.0,101.4463119506836,u_s_hilo.0,20.0,roulette wheel
7,512,16,100,100,96644.539916,0.3,20.0,100.51753973960876,u_s_hilo.0,30.0,roulette wheel
