,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,8388552.0213589985,0.3,10.0,68.44150304794312,u_c_hihi.0,roulette wheel
1,512,16,100,100,8226566.253905999,0.3,20.0,73.07835817337036,u_c_hihi.0,roulette wheel
2,512,16,100,100,8858689.855469,0.3,30.0,66.06519794464111,u_c_hihi.0,roulette wheel
3,512,16,100,100,8388336.67285,0.5,10.0,72.94436502456666,u_c_hihi.0,roulette wheel
4,512,16,100,100,8855480.875,0.5,20.0,92.11803817749023,u_c_hihi.0,roulette wheel
5,512,16,100,100,10261399.445311,0.5,30.0,81.18973588943481,u_c_hihi.0,roulette wheel
6,512,16,100,200,8440810.664249003,0.3,10.0,135.26845693588257,u_c_hihi.0,roulette wheel
7,512,16,100,200,8247351.976193999,0.3,20.0,133.38550925254822,u_c_hihi.0,roulette wheel
8,512,16,100,200,8332923.9824210005,0.3,30.0,126.40931010246277,u_c_hihi.0,roulette wheel
9,512,16,100,200,8300527.087955003,0.5,10.0,143.84765887260437,u_c_hihi.0,roulette wheel
10,512,16,100,200,8209177.653319,0.5,20.0,175.80100297927856,u_c_hihi.0,roulette wheel
11,512,16,100,200,8222399.960938,0.5,30.0,155.73997330665588,u_c_hihi.0,roulette wheel
12,512,16,200,100,8413187.818358999,0.3,10.0,154.8208680152893,u_c_hihi.0,roulette wheel
13,512,16,200,100,10633280.730469,0.3,20.0,131.4348661899567,u_c_hihi.0,roulette wheel
14,512,16,200,100,10681721.955202,0.3,30.0,135.0263869762421,u_c_hihi.0,roulette wheel
15,512,16,200,100,9962172.4375,0.5,10.0,181.035670042038,u_c_hihi.0,roulette wheel
16,512,16,200,100,12068039.47461,0.5,20.0,183.29085278511047,u_c_hihi.0,roulette wheel
17,512,16,200,100,14600695.526855,0.5,30.0,192.9440987110138,u_c_hihi.0,roulette wheel
18,512,16,200,200,8395517.699218001,0.3,10.0,272.9860639572144,u_c_hihi.0,roulette wheel
19,512,16,200,200,8270551.952512999,0.3,20.0,234.70042181015012,u_c_hihi.0,roulette wheel
20,512,16,200,200,8225950.880860001,0.3,30.0,245.0085039138794,u_c_hihi.0,roulette wheel
21,512,16,200,200,8117967.821287,0.5,10.0,332.0501079559326,u_c_hihi.0,roulette wheel
22,512,16,200,200,8410281.226563001,0.5,20.0,319.87440395355225,u_c_hihi.0,roulette wheel
23,512,16,200,200,10175599.496094,0.5,30.0,378.3626217842102,u_c_hihi.0,roulette wheel
24,512,16,100,100,5425.1074659999995,0.3,10.0,59.82636189460754,u_c_lolo.0,roulette wheel
25,512,16,100,100,5888.2701069999985,0.3,20.0,72.71678376197816,u_c_lolo.0,roulette wheel
26,512,16,100,100,6433.5150319999975,0.3,30.0,59.66182780265808,u_c_lolo.0,roulette wheel
27,512,16,100,100,5444.672718000002,0.5,10.0,69.37763786315918,u_c_lolo.0,roulette wheel
28,512,16,100,100,6523.586411999999,0.5,20.0,87.42278218269348,u_c_lolo.0,roulette wheel
29,512,16,100,100,6979.2781760000025,0.5,30.0,75.76744198799132,u_c_lolo.0,roulette wheel
30,512,16,100,200,5349.320725000001,0.3,10.0,136.4208300113678,u_c_lolo.0,roulette wheel
31,512,16,100,200,5339.6755600000015,0.3,20.0,145.0390808582306,u_c_lolo.0,roulette wheel
32,512,16,100,200,5429.938395000001,0.3,30.0,116.63335180282593,u_c_lolo.0,roulette wheel
33,512,16,100,200,5403.783572000001,0.5,10.0,137.34479403495786,u_c_lolo.0,roulette wheel
34,512,16,100,200,5480.554742,0.5,20.0,175.60853099822998,u_c_lolo.0,roulette wheel
