,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,509331.2078850002,0.3,10.0,68.97762513160707,u_c_lohi.0,roulette wheel
1,512,16,100,100,469062.88046300004,0.3,20.0,66.46093416213989,u_c_lohi.0,roulette wheel
2,512,16,100,100,606404.2047149999,0.3,30.0,58.64038681983948,u_c_lohi.0,roulette wheel
3,512,16,100,100,7264.0257889999975,0.3,10.0,63.510486125946045,u_c_lolo.0,roulette wheel
4,512,16,100,100,8382.726606999999,0.3,20.0,67.2813720703125,u_c_lolo.0,roulette wheel
5,512,16,100,100,8883.751555000003,0.3,30.0,58.43619990348816,u_c_lolo.0,roulette wheel
6,512,16,100,100,198738.84451100003,0.3,10.0,63.05909299850464,u_c_hilo.0,roulette wheel
7,512,16,100,100,235959.61834699998,0.3,20.0,69.15261816978455,u_c_hilo.0,roulette wheel
8,512,16,100,100,265933.80169600004,0.3,30.0,54.34533500671387,u_c_hilo.0,roulette wheel
9,512,16,100,100,15053973.78125,0.3,10.0,58.83111906051636,u_c_hihi.0,roulette wheel
10,512,16,100,100,20725035.665039007,0.3,20.0,64.96580505371094,u_c_hihi.0,roulette wheel
11,512,16,100,100,19329187.468751,0.3,30.0,53.76051616668701,u_c_hihi.0,roulette wheel
12,512,16,100,100,509288.759306,0.5,10.0,67.03274011611938,u_c_lohi.0,roulette wheel
13,512,16,100,100,651292.3518059999,0.5,20.0,79.59871912002562,u_c_lohi.0,roulette wheel
14,512,16,100,100,595222.1313479999,0.5,30.0,68.4774730205536,u_c_lohi.0,roulette wheel
15,512,16,100,100,8006.557605999998,0.5,10.0,63.507501125335686,u_c_lolo.0,roulette wheel
16,512,16,100,100,8289.984631,0.5,20.0,80.98247194290161,u_c_lolo.0,roulette wheel
17,512,16,100,100,9187.433621000002,0.5,30.0,69.4820330142975,u_c_lolo.0,roulette wheel
18,512,16,100,100,233581.439942,0.5,10.0,66.08801484107971,u_c_hilo.0,roulette wheel
