,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
54,512,16,100,200,189191.829711,0.3,10.0,125.92164731025696,u_c_hilo.0,roulette wheel
55,512,16,100,200,207720.955629,0.3,20.0,141.49809575080872,u_c_hilo.0,roulette wheel
56,512,16,100,200,229441.877075,0.3,30.0,125.08407282829285,u_c_hilo.0,roulette wheel
57,512,16,100,200,182837.33813299995,0.5,10.0,137.97222185134888,u_c_hilo.0,roulette wheel
58,512,16,100,200,195203.658444,0.5,20.0,180.95358800888062,u_c_hilo.0,roulette wheel
59,512,16,100,200,231050.089174,0.5,30.0,159.09601473808286,u_c_hilo.0,roulette wheel
60,512,16,200,100,233189.76013200002,0.3,10.0,164.22147822380066,u_c_hilo.0,roulette wheel
61,512,16,200,100,268814.02494999993,0.3,20.0,146.28718972206116,u_c_hilo.0,roulette wheel
62,512,16,200,100,270835.919982,0.3,30.0,136.21972608566284,u_c_hilo.0,roulette wheel
63,512,16,200,100,250133.03479,0.5,10.0,239.47659802436831,u_c_hilo.0,roulette wheel
64,512,16,200,100,278409.04168699996,0.5,20.0,251.4801950454712,u_c_hilo.0,roulette wheel
65,512,16,200,100,292982.876344,0.5,30.0,233.50324892997745,u_c_hilo.0,roulette wheel
66,512,16,200,200,210597.590089,0.3,10.0,315.93939113616943,u_c_hilo.0,roulette wheel
67,512,16,200,200,251853.49877900005,0.3,20.0,296.4922380447388,u_c_hilo.0,roulette wheel
68,512,16,200,200,260839.7628199999,0.3,30.0,271.02914381027216,u_c_hilo.0,roulette wheel
69,512,16,200,200,222642.729982,0.5,10.0,487.65314197540283,u_c_hilo.0,roulette wheel
70,512,16,200,200,253456.196657,0.5,20.0,485.378161907196,u_c_hilo.0,roulette wheel
71,512,16,200,200,272363.754704,0.5,30.0,456.1146080493927,u_c_hilo.0,roulette wheel
72,512,16,100,100,383419.748047,0.3,10.0,64.95290684700011,u_c_lohi.0,roulette wheel
73,512,16,100,100,392052.78869699995,0.3,20.0,69.46876406669618,u_c_lohi.0,roulette wheel
74,512,16,100,100,394483.84204,0.3,30.0,59.96750521659851,u_c_lohi.0,roulette wheel
75,512,16,100,100,374221.769593,0.5,10.0,82.9857337474823,u_c_lohi.0,roulette wheel
76,512,16,100,100,432322.42138599994,0.5,20.0,90.13747310638428,u_c_lohi.0,roulette wheel
77,512,16,100,100,451355.6001,0.5,30.0,79.1338951587677,u_c_lohi.0,roulette wheel
78,512,16,100,200,366221.443847,0.3,10.0,125.54097604751587,u_c_lohi.0,roulette wheel
79,512,16,100,200,364219.210451,0.3,20.0,136.49911117553708,u_c_lohi.0,roulette wheel
80,512,16,100,200,374679.897828,0.3,30.0,116.85627913475037,u_c_lohi.0,roulette wheel
81,512,16,100,200,360797.3303229999,0.5,10.0,137.8323199748993,u_c_lohi.0,roulette wheel
82,512,16,100,200,370923.27392800007,0.5,20.0,160.40764093399045,u_c_lohi.0,roulette wheel
83,512,16,100,200,373406.581055,0.5,30.0,155.8467531204224,u_c_lohi.0,roulette wheel
84,512,16,200,100,408811.06414499984,0.3,10.0,152.3109030723572,u_c_lohi.0,roulette wheel
85,512,16,200,100,483209.2845499999,0.3,20.0,130.40167903900144,u_c_lohi.0,roulette wheel
86,512,16,200,100,492490.3042000001,0.3,30.0,129.89815783500669,u_c_lohi.0,roulette wheel
87,512,16,200,100,467756.51098599995,0.5,10.0,230.68672609329224,u_c_lohi.0,roulette wheel
88,512,16,200,100,526451.919919,0.5,20.0,239.1822428703308,u_c_lohi.0,roulette wheel
89,512,16,200,100,560494.092345,0.5,30.0,215.5792229175568,u_c_lohi.0,roulette wheel
90,512,16,200,200,351362.17431800003,0.3,10.0,288.1986248493194,u_c_lohi.0,roulette wheel
91,512,16,200,200,376676.75317399995,0.3,20.0,258.45533990859985,u_c_lohi.0,roulette wheel
92,512,16,200,200,414115.612365,0.3,30.0,257.98728704452515,u_c_lohi.0,roulette wheel
93,512,16,200,200,355815.32727,0.5,10.0,357.3908159732818,u_c_lohi.0,roulette wheel
94,512,16,200,200,418539.0616159999,0.5,20.0,347.24790692329407,u_c_lohi.0,roulette wheel
95,512,16,200,200,478959.3430770001,0.5,30.0,519.4178647994995,u_c_lohi.0,roulette wheel
